,Time,Subsystems,IVBatt,I+5V,IRadio,ISW1_5V,ISW2_5V,ISW3_5V,I7,ICharger,I_E,DA,DB,DC,C,ISW1-5V,ISW2-5V,ISW3-5V
0,61,EPS,"[7.25, -71.1]","[4.99, 86.6]","[0.42, 3200.0]",,,,,"[7.25, -3200.0]","[0.0, 0.0, 0.0, 0.0]","[22.0, 7.01, 1023.0]",[22.56],[22.5],[0.0],"[2.01, 0.6]","[1.1, 1.0]","[1.04, 0.2]"
0,62,EPS,"[7.25, -71.1]","[5.0, 85.6]","[0.43, 3200.0]",,,,,"[7.25, -3200.0]","[0.0, 0.0, 0.0, 0.0]","[22.0, 7.01, 1023.0]",[22.56],[22.5],[0.0],"[2.01, 0.5]","[1.1, 1.0]","[1.04, 0.3]"
0,63,EPS,"[7.25, -71.0]","[4.99, 86.5]","[0.42, 3200.0]",,,,,"[7.24, -3200.0]","[0.0, 0.0, 0.0, 0.0]","[22.0, 7.01, 1023.0]",[22.56],[22.5],[0.0],"[2.01, 0.3]","[1.1, 1.0]","[1.04, 0.1]"
0,64,EPS,"[7.25, -71.2]","[5.0, 86.3]","[0.42, 3200.0]",,,,,"[7.24, -3200.0]","[0.0, 0.0, 0.0, 0.0]","[22.0, 7.01, 1023.0]",[22.56],[22.5],[0.0],"[2.01, 0.6]","[1.1, 0.8]","[1.04, 0.2]"
0,65,EPS,"[7.25, -71.5]","[5.0, 86.0]","[0.43, 3200.0]",,,,,"[7.25, -3200.0]","[0.0, 0.0, 0.0, 0.0]","[22.0, 7.01, 1023.0]",[22.56],[22.5],[0.0],"[2.01, 0.6]","[1.1, 1.0]","[1.04, 0.2]"
0,66,EPS,"[7.25, -71.0]","[4.99, 86.2]","[0.42, 3200.0]",,,,,"[7.25, -3200.0]","[0.0, 0.0, 0.0, 0.0]","[21.97, 7.01, 1023.0]",[22.56],[22.5],[0.0],"[2.01, 0.7]","[1.1, 0.6]","[1.04, 0.3]"
0,67,EPS,"[7.25, -71.2]","[4.99, 86.7]","[0.42, 3200.0]",,,,,"[7.25, -3200.0]","[0.0, 0.0, 0.0, 0.0]","[22.06, 7.01, 1023.0]",[22.56],[22.5],[0.0],"[2.01, 0.8]","[1.1, 0.8]","[1.04, 0.3]"
0,68,EPS,"[7.25, -71.4]","[5.0, 86.7]","[0.43, 3200.0]",,,,,"[7.25, -3200.0]","[0.0, 0.0, 0.0, 0.0]","[22.06, 7.01, 1023.0]",[22.56],[22.5],[0.0],"[2.01, 0.7]","[1.1, 1.2]","[1.04, 0.0]"
0,69,EPS,"[7.25, -71.1]","[5.0, 86.7]","[0.42, 3200.0]",,,,,"[7.25, -3200.0]","[0.0, 0.0, 0.0, 0.0]","[22.0, 7.01, 1023.0]",[22.56],[22.5],[0.0],"[2.01, 0.5]","[1.1, 1.1]","[1.04, 0.2]"
0,70,EPS,"[7.25, -71.4]","[5.0, 86.3]","[0.42, 3200.0]",,,,,"[7.24, -3200.0]","[0.0, 0.0, 0.0, 0.0]","[22.09, 7.01, 1023.0]",[22.56],[22.5],[0.0],"[2.01, 0.7]","[1.1, 0.7]","[1.04, 0.3]"
0,71,EPS,"[7.25, -71.4]","[4.99, 87.0]","[0.42, 3200.0]",,,,,"[7.25, -3200.0]","[0.0, 0.0, 0.0, 0.0]","[22.03, 7.01, 1023.0]",[22.63],[22.5],[0.0],"[2.01, 0.5]","[1.1, 0.7]","[1.04, 0.2]"
0,72,EPS,"[7.25, -71.0]","[4.99, 86.7]","[0.42, 3200.0]",,,,,"[7.24, -3200.0]","[0.0, 0.0, 0.0, 0.0]","[22.03, 7.01, 1023.0]",[22.56],[22.5],[0.0],"[2.01, 0.5]","[1.1, 0.8]","[1.04, 0.4]"
0,73,EPS,"[7.25, -71.2]","[4.99, 86.2]","[0.42, 3200.0]",,,,,"[7.25, -3200.0]","[0.0, 0.0, 0.0, 0.0]","[22.0, 7.01, 1023.0]",[22.56],[22.5],[0.0],"[2.01, 0.6]","[1.09, 0.8]","[1.04, 0.1]"
0,74,EPS,"[7.25, -70.8]","[4.99, 86.4]","[0.42, 3200.0]",,,,,"[7.25, -3200.0]","[0.0, 0.0, 0.0, 0.0]","[22.09, 7.01, 1023.0]",[22.56],[22.5],[0.0],"[2.01, 0.8]","[1.1, 1.0]","[1.04, 0.5]"
0,75,EPS,"[7.25, -71.2]","[4.99, 86.7]","[0.43, 3200.0]",,,,,"[7.25, -3200.0]","[0.0, 0.0, 0.0, 0.0]","[22.0, 7.01, 1023.0]",[22.56],[22.5],[0.0],"[2.01, 0.7]","[1.1, 0.8]","[1.04, 0.2]"
0,76,EPS,"[7.25, -71.2]","[5.0, 86.5]","[0.42, 3200.0]",,,,,"[7.25, -3200.0]","[0.0, 0.0, 0.0, 0.0]","[22.06, 7.01, 1023.0]",[22.56],[22.5],[0.0],"[2.01, 0.7]","[1.1, 0.8]","[1.04, 0.4]"
0,77,EPS,"[7.25, -71.1]","[4.99, 86.7]","[0.42, 3200.0]",,,,,"[7.25, -3200.0]","[0.0, 0.0, 0.0, 0.0]","[22.03, 7.01, 1023.0]",[22.56],[22.5],[0.0],"[2.01, 0.7]","[1.1, 1.0]","[1.04, 0.2]"
0,78,EPS,"[7.25, -71.2]","[4.99, 86.1]","[0.43, 3200.0]",,,,,"[7.25, -3200.0]","[0.0, 0.0, 0.0, 0.0]","[22.06, 7.01, 1023.0]",[22.56],[22.5],[0.0],"[2.01, 0.8]","[1.1, 0.8]","[1.04, 0.3]"
0,79,EPS,"[7.25, -71.5]","[4.99, 87.0]","[0.43, 3200.0]",,,,,"[7.25, -3200.0]","[0.0, 0.0, 0.0, 0.0]","[22.03, 7.01, 1023.0]",[22.63],[22.5],[0.0],"[2.01, 0.6]","[1.1, 0.8]","[1.04, 0.2]"
0,80,EPS,"[7.25, -71.1]","[4.99, 86.3]","[0.42, 3200.0]",,,,,"[7.25, -3200.0]","[0.0, 0.0, 0.0, 0.0]","[22.0, 7.01, 1023.0]",[22.63],[22.5],[0.0],"[2.01, 0.6]","[1.1, 1.1]","[1.04, 0.4]"
0,81,EPS,"[7.25, -71.0]","[4.99, 86.5]","[0.43, 3200.0]",,,,,"[7.25, -3200.0]","[0.0, 0.0, 0.0, 0.0]","[22.06, 7.01, 1023.0]",[22.56],[22.5],[0.0],"[2.01, 0.5]","[1.1, 0.8]","[1.04, 0.4]"
0,82,EPS,"[7.25, -70.9]","[4.99, 86.6]","[0.42, 3200.0]",,,,,"[7.25, -3200.0]","[0.0, 0.0, 0.0, 0.0]","[22.0, 7.01, 1023.0]",[22.56],[22.5],[0.0],"[2.01, 0.7]","[1.1, 0.8]","[1.04, 0.2]"
0,83,EPS,"[7.25, -71.3]","[5.0, 85.5]","[0.42, 3200.0]",,,,,"[7.25, -3200.0]","[0.0, 0.0, 0.0, 0.0]","[22.09, 7.01, 1023.0]",[22.63],[22.5],[0.0],"[2.01, 0.7]","[1.1, 1.0]","[1.04, 0.4]"
0,84,EPS,"[7.25, -71.3]","[4.99, 86.7]","[0.42, 3200.0]",,,,,"[7.25, -3200.0]","[0.0, 0.0, 0.0, 0.0]","[22.16, 7.01, 1023.0]",[22.63],[22.5],[0.0],"[2.01, 0.1]","[1.1, 1.0]","[1.04, 0.3]"
0,85,EPS,"[7.23, -109.0]","[5.0, 62.7]","[3.16, 3200.0]",,,,,"[7.22, -3200.0]","[1.0, 1.0, 1.0, 1.0]","[22.16, 6.99, 1023.0]",[22.63],[22.5],[0.0],"[4.99, 56.1]","[5.0, 20.2]","[5.0, 0.3]"
0,86,EPS,"[7.23, -107.3]","[5.0, 61.7]","[3.16, 3200.0]",,,,,"[7.22, -3200.0]","[1.0, 1.0, 1.0, 1.0]","[22.0, 6.99, 1023.0]",[22.56],[22.5],[0.0],"[4.99, 54.9]","[5.0, 20.4]","[5.0, 0.4]"
0,87,EPS,"[7.23, -108.2]","[5.0, 62.9]","[3.16, 3200.0]",,,,,"[7.22, -3200.0]","[1.0, 1.0, 1.0, 1.0]","[22.13, 6.99, 1023.0]",[22.63],[22.5],[0.0],"[4.99, 54.9]","[5.0, 20.3]","[5.0, 0.2]"
0,88,EPS,"[7.24, -108.0]","[5.0, 62.4]","[3.16, 3200.0]",,,,,"[7.22, -3200.0]","[1.0, 1.0, 1.0, 1.0]","[22.09, 6.99, 1023.0]",[22.63],[22.44],[0.0],"[4.99, 54.7]","[5.01, 19.6]","[5.0, 0.5]"
0,89,EPS,"[7.23, -108.0]","[4.99, 62.7]","[3.16, 3200.0]",,,,,"[7.22, -3200.0]","[1.0, 1.0, 1.0, 1.0]","[22.13, 6.99, 1023.0]",[22.63],[22.44],[0.0],"[4.99, 55.0]","[5.0, 19.7]","[5.0, 0.2]"
0,90,EPS,"[7.23, -107.6]","[5.0, 63.0]","[3.16, 3200.0]",,,,,"[7.22, -3200.0]","[1.0, 1.0, 1.0, 1.0]","[22.13, 6.99, 1023.0]",[22.56],[22.44],[0.0],"[4.99, 54.9]","[5.0, 19.7]","[5.01, 0.3]"
0,91,EPS,"[7.23, -108.5]","[5.0, 63.1]","[3.16, 3200.0]",,,,,"[7.22, -3200.0]","[1.0, 1.0, 1.0, 1.0]","[22.09, 6.99, 1023.0]",[22.63],[22.44],[0.0],"[4.99, 54.7]","[5.0, 20.3]","[5.0, 0.6]"
0,92,EPS,"[7.23, -108.6]","[5.0, 63.0]","[3.16, 3200.0]",,,,,"[7.22, -3200.0]","[1.0, 1.0, 1.0, 1.0]","[22.06, 6.99, 1023.0]",[22.56],[22.44],[0.0],"[4.99, 55.1]","[5.0, 20.4]","[5.0, 0.5]"
0,93,EPS,"[7.23, -108.3]","[4.99, 63.1]","[3.16, 3200.0]",,,,,"[7.22, -3200.0]","[1.0, 1.0, 1.0, 1.0]","[21.97, 6.99, 1023.0]",[22.56],[22.44],[0.0],"[4.99, 55.1]","[5.01, 20.2]","[5.0, 0.2]"
0,94,EPS,"[7.23, -108.2]","[4.99, 63.2]","[3.16, 3200.0]",,,,,"[7.22, -3200.0]","[1.0, 1.0, 1.0, 1.0]","[22.09, 6.99, 1023.0]",[22.56],[22.44],[0.0],"[4.99, 54.7]","[5.0, 20.3]","[5.01, 0.6]"
0,95,EPS,"[7.23, -108.3]","[5.0, 63.1]","[3.16, 3200.0]",,,,,"[7.22, -3200.0]","[1.0, 1.0, 1.0, 1.0]","[22.09, 6.99, 1023.0]",[22.56],[22.44],[0.0],"[4.99, 54.8]","[5.0, 20.2]","[5.0, 0.6]"
0,96,EPS,"[7.23, -107.9]","[5.0, 63.0]","[3.16, 3200.0]",,,,,"[7.22, -3200.0]","[1.0, 1.0, 1.0, 1.0]","[22.03, 6.99, 1023.0]",[22.63],[22.44],[0.0],"[4.99, 54.7]","[5.0, 19.4]","[5.0, 0.1]"
0,97,EPS,"[7.23, -108.6]","[5.0, 62.9]","[3.16, 3200.0]",,,,,"[7.22, -3200.0]","[1.0, 1.0, 1.0, 1.0]","[22.13, 6.99, 1023.0]",[22.56],[22.44],[0.0],"[4.99, 54.9]","[5.0, 20.3]","[5.01, 0.3]"
0,98,EPS,"[7.23, -108.5]","[5.0, 63.0]","[3.16, 3200.0]",,,,,"[7.22, -3200.0]","[1.0, 1.0, 1.0, 1.0]","[22.03, 6.99, 1023.0]",[22.56],[22.44],[0.0],"[4.99, 54.8]","[5.0, 20.2]","[5.01, 0.0]"
0,99,EPS,"[7.23, -107.5]","[5.0, 62.1]","[3.16, 3200.0]",,,,,"[7.22, -3200.0]","[1.0, 1.0, 1.0, 1.0]","[22.16, 6.99, 1023.0]",[22.56],[22.38],[0.0],"[4.99, 55.0]","[5.01, 20.2]","[5.0, 0.4]"
0,100,EPS,"[7.23, -108.6]","[5.0, 62.9]","[3.16, 3200.0]",,,,,"[7.22, -3200.0]","[1.0, 1.0, 1.0, 1.0]","[22.06, 6.99, 1023.0]",[22.56],[22.44],[0.0],"[4.99, 54.9]","[5.0, 20.1]","[5.0, 0.4]"
0,101,EPS,"[7.23, -108.3]","[5.0, 63.2]","[3.16, 3200.0]",,,,,"[7.22, -3200.0]","[1.0, 1.0, 1.0, 1.0]","[22.0, 6.99, 1023.0]",[22.56],[22.44],[0.0],"[4.99, 54.9]","[5.0, 20.0]","[5.0, 0.1]"
0,102,EPS,"[7.23, -108.4]","[5.0, 63.0]","[3.16, 3200.0]",,,,,"[7.22, -3200.0]","[1.0, 1.0, 1.0, 1.0]","[22.06, 6.99, 1023.0]",[22.63],[22.44],[0.0],"[4.99, 55.0]","[5.0, 20.4]","[5.01, 0.3]"
0,103,EPS,"[7.23, -107.7]","[5.0, 63.4]","[3.16, 3200.0]",,,,,"[7.22, -3200.0]","[1.0, 1.0, 1.0, 1.0]","[22.06, 6.99, 1023.0]",[22.56],[22.38],[0.0],"[4.99, 55.0]","[5.0, 19.7]","[5.0, 0.1]"
0,104,EPS,"[7.23, -108.2]","[5.0, 62.9]","[3.16, 3200.0]",,,,,"[7.22, -3200.0]","[1.0, 1.0, 1.0, 1.0]","[22.06, 6.99, 1023.0]",[22.56],[22.38],[0.0],"[4.99, 54.9]","[5.0, 20.2]","[5.0, 0.4]"
0,105,EPS,"[7.23, -108.5]","[4.99, 62.3]","[3.16, 3200.0]",,,,,"[7.22, -3200.0]","[1.0, 1.0, 1.0, 1.0]","[22.09, 6.99, 1023.0]",[22.63],[22.44],[0.0],"[4.99, 54.9]","[5.0, 20.3]","[5.0, 0.5]"
0,106,EPS,"[7.23, -107.8]","[5.0, 62.0]","[3.16, 3200.0]",,,,,"[7.22, -3200.0]","[1.0, 1.0, 1.0, 1.0]","[22.16, 6.98, 1023.0]",[22.63],[22.38],[0.0],"[4.99, 54.9]","[5.0, 20.2]","[5.0, 0.3]"
0,107,EPS,"[7.23, -108.4]","[5.0, 63.1]","[3.17, 3200.0]",,,,,"[7.22, -3200.0]","[1.0, 1.0, 1.0, 1.0]","[22.16, 6.99, 1023.0]",[22.63],[22.38],[0.0],"[4.99, 55.2]","[5.0, 19.9]","[5.0, 0.5]"
0,108,EPS,"[7.23, -108.2]","[5.0, 63.0]","[3.16, 3200.0]",,,,,"[7.22, -3200.0]","[1.0, 1.0, 1.0, 1.0]","[22.22, 6.99, 1023.0]",[22.63],[22.38],[0.0],"[4.99, 54.9]","[5.0, 19.6]","[5.0, 0.5]"
0,109,EPS,"[7.23, -108.6]","[5.0, 63.2]","[3.16, 3200.0]",,,,,"[7.22, -3200.0]","[1.0, 1.0, 1.0, 1.0]","[22.16, 6.99, 1023.0]",[22.63],[22.44],[0.0],"[4.99, 54.9]","[5.0, 20.0]","[5.0, 0.2]"
0,110,EPS,"[7.23, -108.1]","[5.0, 62.9]","[3.16, 3200.0]",,,,,"[7.22, -3200.0]","[1.0, 1.0, 1.0, 1.0]","[22.06, 6.99, 1023.0]",[22.63],[22.38],[0.0],"[4.99, 55.2]","[5.01, 19.5]","[5.0, 0.1]"
0,111,EPS,"[7.23, -108.6]","[5.0, 62.9]","[3.16, 3200.0]",,,,,"[7.22, -3200.0]","[1.0, 1.0, 1.0, 1.0]","[22.03, 6.99, 1023.0]",[22.56],[22.38],[0.0],"[4.99, 55.0]","[5.0, 20.3]","[5.0, 0.0]"
0,112,EPS,"[7.23, -107.3]","[5.0, 62.9]","[3.16, 3200.0]",,,,,"[7.22, -3200.0]","[1.0, 1.0, 1.0, 1.0]","[22.06, 6.99, 1023.0]",[22.63],[22.38],[0.0],"[4.99, 54.9]","[5.0, 19.6]","[5.0, 0.4]"
0,113,EPS,"[7.23, -108.9]","[5.0, 62.9]","[3.16, 3200.0]",,,,,"[7.22, -3200.0]","[1.0, 1.0, 1.0, 1.0]","[22.19, 6.99, 1023.0]",[22.63],[22.38],[0.0],"[4.99, 55.0]","[5.01, 20.3]","[5.0, 0.3]"
0,114,EPS,"[7.23, -108.2]","[5.0, 62.8]","[3.16, 3200.0]",,,,,"[7.22, -3200.0]","[1.0, 1.0, 1.0, 1.0]","[22.06, 6.99, 1023.0]",[22.63],[22.38],[0.0],"[4.99, 54.9]","[5.0, 19.7]","[5.0, 0.4]"
0,115,EPS,"[7.23, -108.5]","[5.0, 63.5]","[3.16, 3200.0]",,,,,"[7.22, -3200.0]","[1.0, 1.0, 1.0, 1.0]","[22.06, 6.99, 1023.0]",[22.63],[22.38],[0.0],"[4.99, 54.9]","[5.0, 19.7]","[5.0, 0.4]"
0,116,EPS,"[7.23, -108.5]","[5.0, 63.0]","[3.16, 3200.0]",,,,,"[7.22, -3200.0]","[1.0, 1.0, 1.0, 1.0]","[22.09, 6.99, 1023.0]",[22.63],[22.38],[0.0],"[4.99, 54.8]","[5.0, 19.5]","[5.0, 0.4]"
0,117,EPS,"[7.23, -108.4]","[5.0, 63.0]","[3.16, 3200.0]",,,,,"[7.22, -3200.0]","[1.0, 1.0, 1.0, 1.0]","[22.19, 6.99, 1023.0]",[22.63],[22.38],[0.0],"[4.99, 54.9]","[5.01, 20.1]","[5.0, 0.4]"
0,118,EPS,"[7.23, -108.9]","[5.0, 63.0]","[3.17, 3200.0]",,,,,"[7.22, -3200.0]","[1.0, 1.0, 1.0, 1.0]","[22.16, 6.99, 1023.0]",[22.63],[22.38],[0.0],"[4.99, 55.0]","[5.0, 20.2]","[5.0, 0.1]"
0,119,EPS,"[7.23, -107.9]","[5.0, 61.8]","[3.16, 3200.0]",,,,,"[7.22, -3200.0]","[1.0, 1.0, 1.0, 1.0]","[22.19, 6.99, 1023.0]",[22.63],[22.38],[0.0],"[4.99, 55.0]","[5.0, 20.2]","[5.0, 0.1]"
0,120,EPS,"[7.23, -108.7]","[5.0, 62.9]","[3.16, 3200.0]",,,,,"[7.22, -3200.0]","[1.0, 1.0, 1.0, 1.0]","[22.16, 6.99, 1023.0]",[22.63],[22.38],[0.0],"[4.99, 55.0]","[5.0, 20.3]","[5.0, 0.3]"
0,121,EPS,"[7.23, -108.4]","[5.0, 63.5]","[3.16, 3200.0]",,,,,"[7.22, -3200.0]","[1.0, 1.0, 1.0, 1.0]","[22.16, 6.99, 1023.0]",[22.63],[22.38],[0.0],"[4.99, 55.0]","[5.0, 19.7]","[5.0, 0.4]"
